timestamp,direction,score,agreement,reason,entry,sl,tp,rr,orderflow_imb,orderflow_delta,orderflow_large,orderflow_buy,orderflow_sell,trades
2026-09-20T15:59:36.822578+00:00,LONG,57.95,62.50%,score_low,80639.59,80238.24,81281.75,1.60,0.0033,-0.7315,0.0000,0.9892,1.7207,100
2026-09-20T16:00:00.200379+00:00,LONG,73.55,75.00%,signal_valid,80639.59,80238.24,81281.75,1.60,0.2458,0.0553,0.0000,0.3836,0.3283,100
2026-09-20T16:13:51.271260+00:00,LONG,74.55,62.50%,same_direction_cooldown,80874.20,80470.06,81520.83,1.60,-0.0013,0.0477,0.0000,0.1982,0.1505,100
2026-09-20T16:26:34.845490+00:00,LONG,91.05,87.50%,same_direction_cooldown,80874.20,80470.06,81520.83,1.60,0.3115,0.1515,0.0000,0.2614,0.1098,100
2026-09-20T16:37:01.615863+00:00,LONG,74.55,62.50%,same_direction_cooldown,80874.20,80470.06,81520.83,1.60,0.0077,0.2097,0.0000,0.6226,0.4129,100
2026-09-20T16:45:34.122100+00:00,LONG,65.45,62.50%,signal_valid,80874.20,80470.06,81520.83,1.60,0.0083,-0.3205,0.0000,0.0506,0.3710,100
2026-09-20T16:52:49.728952+00:00,LONG,63.50,62.50%,same_signal,80874.20,80470.06,81520.83,1.60,0.0516,-0.8087,-0.2736,0.1526,0.9613,100
2026-09-20T17:00:11.421339+00:00,LONG,46.45,62.50%,score_low,81311.99,80927.09,81927.83,1.60,-0.1533,-0.0878,0.0000,0.3501,0.4379,100
2026-09-20T17:12:25.261690+00:00,LONG,67.05,62.50%,same_direction_cooldown,81311.99,80927.09,81927.83,1.60,-0.0569,0.0338,0.0000,0.3841,0.3503,100
2026-09-20T17:23:11.492133+00:00,LONG,52.95,62.50%,score_low,81311.99,80927.09,81927.83,1.60,-0.0190,-0.0431,0.0000,0.1271,0.1702,100
2026-09-20T17:32:27.855286+00:00,LONG,57.50,62.50%,score_low,81311.99,80927.09,81927.83,1.60,0.2540,-0.6348,-0.4939,0.1405,0.7753,100
2026-09-20T17:41:21.945008+00:00,LONG,68.55,75.00%,signal_valid,81311.99,80927.09,81927.83,1.60,0.0860,0.2494,0.0000,0.2772,0.0278,100
2026-09-20T17:48:41.088385+00:00,LONG,64.45,62.50%,same_signal,81311.99,80927.09,81927.83,1.60,0.2038,-0.1208,0.0000,0.0927,0.2135,100
2026-09-20T17:55:54.692309+00:00,LONG,57.95,62.50%,score_low,81311.99,80927.09,81927.83,1.60,0.0792,-1.0994,0.0000,0.0112,1.1106,100
2026-09-20T18:06:22.192791+00:00,LONG,61.95,62.50%,score_low,81129.33,80745.74,81743.08,1.60,0.1629,-0.3183,0.0000,0.1486,0.4669,100
2026-09-20T18:21:57.311653+00:00,LONG,66.50,75.00%,same_direction_cooldown,81129.33,80745.74,81743.08,1.60,0.0160,1.0012,0.5841,1.0871,0.0860,100
2026-09-20T18:34:14.616061+00:00,LONG,61.95,62.50%,score_low,81129.33,80745.74,81743.08,1.60,0.1455,-0.5192,0.0000,0.1056,0.6247,100
2026-09-20T18:44:33.390700+00:00,LONG,55.45,62.50%,score_low,81129.33,80745.74,81743.08,1.60,0.0685,-0.1345,0.0000,0.1002,0.2347,100
2026-09-20T18:52:01.160276+00:00,LONG,61.95,62.50%,score_low,81129.33,80745.74,81743.08,1.60,0.0931,-0.7580,0.0000,0.1504,0.9084,100
2026-09-20T18:58:59.630773+00:00,LONG,60.00,62.50%,score_low,81129.33,80745.74,81743.08,1.60,0.2624,-1.0586,-0.5340,0.0108,1.0694,100
2026-09-20T19:09:30.544040+00:00,LONG,55.45,62.50%,score_low,81020.32,80628.27,81647.60,1.60,-0.0033,-0.5958,0.0000,0.1697,0.7654,100
2026-09-20T19:19:07.188578+00:00,LONG,55.45,62.50%,score_low,81020.32,80628.27,81647.60,1.60,0.0343,-0.0497,0.0000,0.1902,0.2399,100
2026-09-20T19:28:12.550389+00:00,LONG,73.00,75.00%,signal_valid,81020.32,80628.27,81647.60,1.60,0.1191,0.7792,0.1343,2.6052,1.8260,100
2026-09-20T19:35:42.701867+00:00,LONG,55.45,62.50%,score_low,81020.32,80628.27,81647.60,1.60,0.0226,-0.8275,0.0000,0.1320,0.9595,100
2026-09-20T19:42:58.747576+00:00,LONG,71.05,75.00%,same_signal,81020.32,80628.27,81647.60,1.60,0.1162,0.0876,0.0000,0.1334,0.0458,100
2026-09-20T19:50:08.395867+00:00,LONG,64.55,62.50%,same_signal,81020.32,80628.27,81647.60,1.60,-0.0378,0.4582,0.0000,0.5993,0.1411,100
2026-09-20T19:57:19.895362+00:00,LONG,58.05,62.50%,score_low,81020.32,80628.27,81647.60,1.60,-0.2324,0.2459,0.0000,0.3430,0.0972,100
2026-09-20T20:08:01.915514+00:00,LONG,63.05,62.50%,same_direction_cooldown,81162.44,80768.32,81793.04,1.60,-0.1878,0.0285,0.0000,0.2727,0.2442,100
2026-09-20T20:20:31.706920+00:00,LONG,55.45,62.50%,score_low,81162.44,80768.32,81793.04,1.60,0.0308,-0.3650,0.0000,0.1273,0.4923,100
