ts,scan_id,direction,state,context,engine_relationship,opportunity_size,structure_score,flow_score,combined_strength,room_atr,room_price,room_timeframe,factor_count,price,atr,regime,core_flow_direction,raw_shadow_status,follow_through,bridge_state,bridge_ready,bridge_score_bonus,bridge_agreement_boost,diagnostic_only
2026-09-23T15:00:17.342642+00:00,20260923T150014.520897Z,LONG,FAILED,COUNTER_TREND_PULLBACK,CONFLICTED,SMALL,0.289693,0.27223,0.283057,1.34822,85257.0,1h,1,84477.73,577.9992857142871,BEARISH_PULLBACK,SHORT,FAILED,False,NONE,False,0.0,0.0,False
2026-09-23T15:00:17.342662+00:00,20260923T150014.520897Z,SHORT,FAILED,TREND,ALIGNED,SMALL,0.736554,0.562097,0.67026,0.53289,84169.72,5m,6,84477.73,577.9992857142871,BEARISH_PULLBACK,SHORT,FAILED,False,NONE,False,0.0,0.0,False
2026-09-23T15:16:12.793718+00:00,20260923T151610.578676Z,LONG,FAILED,COUNTER_TREND_PULLBACK,ALIGNED,SMALL,0.382775,0.429134,0.400392,0.819515,85257.0,1h,2,84766.53,598.4878571428593,BEARISH_PULLBACK,SHORT,FAILED,False,NONE,False,0.0,0.0,False
2026-09-23T15:16:12.793738+00:00,20260923T151610.578676Z,SHORT,FAILED,TREND,CONFLICTED,SMALL,0.652826,0.484587,0.588895,0.997197,84169.72,5m,5,84766.53,598.4878571428593,BEARISH_PULLBACK,SHORT,FAILED,False,NONE,False,0.0,0.0,False
2026-09-23T15:32:48.069965+00:00,20260923T153245.884209Z,LONG,FAILED,COUNTER_TREND_PULLBACK,ALIGNED,SMALL,0.377916,0.369317,0.374648,0.051385,84476.66,5m,2,84445.72,602.1178571428588,BEARISH_PULLBACK,SHORT,FAILED,False,NONE,False,0.0,0.0,False
2026-09-23T15:32:48.069986+00:00,20260923T153245.884209Z,SHORT,FAILED,TREND,CONFLICTED,SMALL,0.723617,0.514809,0.64427,0.458382,84169.72,5m,5,84445.72,602.1178571428588,BEARISH_PULLBACK,SHORT,FAILED,False,NONE,False,0.0,0.0,False
2026-09-23T15:47:27.491063+00:00,20260923T154725.999654Z,LONG,FAILED,COUNTER_TREND_PULLBACK,ALIGNED,SMALL,0.314041,0.462366,0.370404,0.343808,84476.66,5m,2,84266.09,612.4642857142878,BEARISH_PULLBACK,SHORT,FAILED,False,NONE,False,0.0,0.0,False
2026-09-23T15:47:27.491077+00:00,20260923T154725.999654Z,SHORT,CONFIRMING,TREND,CONFLICTED,SMALL,0.772947,0.385009,0.625531,0.157348,84169.72,5m,6,84266.09,612.4642857142878,BEARISH_PULLBACK,SHORT,CONFIRMED,True,WATCHING,False,0.0,0.0,False
2026-09-23T15:59:07.553235+00:00,20260923T155905.687380Z,LONG,FAILED,COUNTER_TREND_PULLBACK,ALIGNED,SMALL,0.381049,0.399414,0.388027,0.704563,84476.66,5m,2,84033.81,628.5457142857164,BEARISH_PULLBACK,SHORT,FAILED,False,NONE,False,0.0,0.0,False
2026-09-23T15:59:07.553257+00:00,20260923T155905.687380Z,SHORT,CONFIRMING,TREND,CONFLICTED,SMALL,0.846467,0.600195,0.752884,0.373195,83799.24,15m,6,84033.81,628.5457142857164,BEARISH_PULLBACK,SHORT,CONFIRMED,True,WATCHING,False,0.0,0.0,False
2026-09-23T16:16:42.366500+00:00,20260923T161640.484157Z,LONG,FAILED,COUNTER_TREND_PULLBACK,ALIGNED,SMALL,0.333553,0.329841,0.332143,0.284753,84476.66,5m,2,84286.75,666.9292857142874,BEARISH_PULLBACK,NEUTRAL,FAILED,True,NONE,False,0.0,0.0,False
2026-09-23T16:16:42.366522+00:00,20260923T161640.484157Z,SHORT,FAILED,TREND,PARTIALLY_ALIGNED,SMALL,0.637855,0.437343,0.561661,0.175476,84169.72,5m,4,84286.75,666.9292857142874,BEARISH_PULLBACK,NEUTRAL,FAILED,False,NONE,False,0.0,0.0,False
